distance,j2_value,spin_dot_infinite,slope,r_squared,fit_degree,num_points,qubits,inverse_qubits,spin_dot_values
2,0.357142865658,0.166493136986,8.80550411797,0.973275698637,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.262291669846;0.286359369755;0.339093774557;0.39508330822;0.405046910048;0.42218747735;0.469022721052;0.484799981117;0.475749999285;0.540562450886;0.545000016689;0.550199985504
2,0.428571432829,0.230104880292,0.251310351961,0.778772114516,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.198479160666;0.217945292592;0.265031218529;0.301125019789;0.308109372854;0.24537499249;0.258954554796;0.275475025177;0.267166703939;0.30890622735;0.399124979973;0.422100037336
2,0.5,0.256793130569,-10.3931879361,0.910178708498,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.112937510014;0.106101565063;0.110281251371;0.0559583343565;0.0395156256855;-0.0264374986291;-0.0234545450658;-0.024975001812;-0.0493333339691;-0.0379687510431;0.0948750004172;0.148049995303
2,0.571428596973,0.222440939227,-15.309929918,0.93531040445,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.0210416670889;-0.001945312717;-0.0373749993742;-0.111666657031;-0.139453113079;-0.225187495351;-0.247227266431;-0.292575001717;-0.396833330393;-0.301125019789;-0.280625015497;-0.293550014496
2,0.642857134342,0.174176644217,-20.6543248272,0.822633654122,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.0524999983609;-0.0864140614867;-0.188156247139;-0.338166683912;-0.39407813549;-0.502749979496;-0.555750012398;-0.617399990559;-0.733166694641;-0.61050003767;-0.467125028372;-0.898050010204
2,0.714285731316,0.162583792335,-26.9808199791,0.893594129413,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.132708325982;-0.174820318818;-0.330000013113;-0.513666689396;-0.581015586853;-0.716125011444;-0.79574996233;-0.838949978352;-0.980666697025;-0.853406250477;-0.781500041485;-1.18079996109
2,0.785714268684,0.153598258575,-32.5936722069,0.970508347851,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.223124980927;-0.275460928679;-0.443718761206;-0.648874998093;-0.711890637875;-0.881187438965;-0.961840867996;-0.988574981689;-1.14691674709;-1.01690626144;-1.13837492466;-1.24230003357
2,0.857142865658,0.086636324153,-34.0787993076,0.976687645501,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.30895832181;-0.375867158175;-0.550687491894;-0.758458316326;-0.816984415054;-0.994562447071;-1.08974993229;-1.09672498703;-1.27750003338;-1.13146877289;-1.42362499237;-1.36919987202
2,0.928571403027,0.043539468716,-36.1616493138,0.965737802129,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.386104136705;-0.455812484026;-0.637406229973;-0.834541797638;-0.894890606403;-1.08599996567;-1.16734099388;-1.17420005798;-1.3844165802;-1.21050012112;-1.58187496662;-1.37384998798
2,1,-0.00300916037715,-36.6912132854,0.956494090297,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.444104164839;-0.504234373569;-0.704781234264;-0.891499996185;-0.962531268597;-1.14725005627;-1.22386360168;-1.23187506199;-1.45141661167;-1.27443742752;-1.70437514782;-1.4306999445
3,0,-0.122891947315,-12.4488431633,0.960587778051,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.280104160309;-0.310992151499;-0.337687522173;-0.43866661191;-0.435984373093;-0.463000029325;-0.573477268219;-0.617624998093;-0.583499968052;-0.658874988556;-0.65474998951;-0.69780009985
3,0.0714285746217,-0.119818779377,-12.3447272391,0.961932771736,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.278020828962;-0.301898419857;-0.335312515497;-0.435000032187;-0.421640634537;-0.461062520742;-0.56222730875;-0.604200005531;-0.564833343029;-0.647343695164;-0.642374992371;-0.670650005341
3,0.142857149243,-0.107189983488,-12.6044496735,0.952869150914,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.272312492132;-0.291421860456;-0.324750006199;-0.417416661978;-0.412359386683;-0.444687485695;-0.559090912342;-0.588599979877;-0.555916726589;-0.632156252861;-0.603874981403;-0.63330000639
3,0.214285716414,-0.097914780649,-12.6586966552,0.929971491465,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.262520819902;-0.286289066076;-0.305999994278;-0.402916669846;-0.392484337091;-0.42974999547;-0.542999982834;-0.568424999714;-0.541750013828;-0.594093739986;-0.533250033855;-0.571649968624
3,0.285714298487,-0.0701864478458,-12.6072517396,0.899019525335,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.2384583354;-0.250593751669;-0.28509375453;-0.36508333683;-0.366187483072;-0.384499996901;-0.502636373043;-0.5474999547;-0.506333351135;-0.573000013828;-0.478250026703;-0.529949963093
3,0.357142865658,-0.041061712159,-11.4799511058,0.91650516375,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.188187524676;-0.211242198944;-0.239562496543;-0.314166665077;-0.305671900511;-0.333187490702;-0.430431813002;-0.473850011826;-0.42950001359;-0.501093685627;-0.428125023842;-0.454199999571
3,0.428571432829,-0.10276206454,-3.48224299125,0.891816867134,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.14164583385;-0.142875000834;-0.174843743443;-0.236791670322;-0.202781260014;-0.188749983907;-0.255409091711;-0.290699988604;-0.239083334804;-0.300562500954;-0.33449998498;-0.376199990511
