distance,g_value,zz_infinite,slope,r_squared,fit_degree,num_points,qubits,inverse_qubits,zz_values
2,0.899999976158,0.0295341679826,-0.359640339905,0.761952741957,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.0262499991804;0.0287500005215;0.0266718752682;0.0262500010431;0.0128750000149;0.023906249553;0.01600000076;0.0111136361957;0.00720000034198;0.00283333286643;-0.00196874979883;0.000125000326079;0.0031500000041
2,1,0.0171468945437,-0.19293859938,0.378864822211,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.0242187511176;0.0225833337754;0.0197343751788;0.0103125004098;0.0116249993443;0.0035156251397;0.0034999998752;0.00224999990314;-0.00225000013597;0.00483333319426;0.000843750021886;0.0101250000298;0.00390000012703
3,0,0.993415154417,0.0168924021342,0.0160253960816,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.989312469959;0.992666661739;0.996703147888;0.993281245232;0.997187495232;0.997804641724;0.995312452316;0.988568246365;0.99442499876;0.992166697979;0.999000012875;0.989000022411;0.998399972916
3,0.10000000149,0.988121845239,0.123919274675,0.391273816653,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.99106246233;0.985166668892;0.989531219006;0.99243748188;0.995499968529;0.99464058876;0.996937513351;0.990409076214;0.993150055408;0.997833311558;0.986624956131;0.995124995708;1.00635004044
3,0.20000000298,0.977163253505,0.0463683137657,0.0872613156708,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.978687465191;0.976500034332;0.9752343297;0.975937485695;0.984687566757;0.980156242847;0.979624986649;0.975954532623;0.981825053692;0.979083359241;0.982218742371;0.971499979496;0.987600028515
3,0.300000011921,0.898252447097,0.700952325918,0.830337212918,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.898218750954;0.899374961853;0.899906277657;0.907124996185;0.92437505722;0.930656254292;0.927500009537;0.944045484066;0.945075035095;0.937666654587;0.946031332016;0.951499938965;0.957149982452
3,0.40000000596,0.738122592754,1.82521770485,0.760514843581,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.724749982357;0.738499999046;0.743343770504;0.754734396935;0.798249959946;0.818789064884;0.847812473774;0.853636324406;0.862874984741;0.859750032425;0.860249996185;0.877875030041;0.874049961567
3,0.5,0.478371760734,1.06953340701,0.612731460917,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.438749969006;0.486750006676;0.496453166008;0.49289059639;0.51424998045;0.528187513351;0.555062532425;0.563863635063;0.54960000515;0.539416611195;0.527906239033;0.557624995708;0.565200030804
3,0.600000023842,0.139600231623,-0.347056339216,0.176871354472,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.130374997854;0.15229165554;0.166781246662;0.12506249547;0.116500005126;0.130429685116;0.133187487721;0.133159101009;0.104924999177;0.0899166688323;0.0841875001788;0.121625006199;0.13259999454
3,0.699999988079,0.0405503219749,-0.173384745363,0.290035431857,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.0357500016689;0.0410000011325;0.0463124997914;0.0418593734503;0.035000000149;0.0405703112483;0.0344999991357;0.0314318202436;0.0206250008196;0.0181666668504;0.0204374995083;0.0305000003427;0.034200001508
3,0.800000011921,0.0165321488314,-0.119315661405,0.337221676728,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.019062500447;0.0174583345652;0.019687499851;0.0156093742698;0.0114374998957;0.010265625082;0.0140000013635;0.00579545460641;0.00179999985266;0.00575000001118;0.00581250013784;0.011874999851;0.00975000020117
