observable_key,component,parameter,fit_of_finite_mean,bootstrap_mean,bootstrap_median,bootstrap_std,ci_low,ci_high,confidence,fit_degree,central_slope,central_r_squared,bootstrap_repetitions,qubits,inverse_qubits,finite_size_means
bootstrap_corr_spin_dot,2,0.357142865658,0.527232839745,0.527232839745,0.527553253184,0.0084223586951,0.510943646511,0.543668872849,0.95,1,-0.339510043228,0.0292185985322,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,0.4686609375;0.5215365;0.53234865;0.476664954545;0.522608625;0.543681;0.54748525;0.561989475;0.493999647632;0.478169746189
bootstrap_corr_spin_dot,2,0.428571462631,0.367899689405,0.367899689405,0.368048046542,0.00783745157594,0.352454190026,0.383232539181,0.95,1,-0.595352211149,0.33946153999,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,0.320013837;0.340988;0.34107615;0.335709;0.37028925;0.32352975;0.3451594;0.360675;0.364755234375;0.3572839375
bootstrap_corr_spin_dot,2,0.499999970198,0.0458668915351,0.0458668915351,0.0460117288833,0.00549073543579,0.0352794747581,0.0564935641049,0.95,1,-0.699853661674,0.0638430150763,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,-0.0799576875;0.011193;0.0553491;0.0350353636364;0.103464375;0.00496186875;0.0059042;0.00719265375;0.0277129828125;0.0297641125
bootstrap_corr_spin_dot,2,0.571428537369,-0.235966023071,-0.235966023071,-0.236988827878,0.0256862327495,-0.28519765414,-0.18323958589,0.95,1,-1.26193516974,0.387859173548,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,-0.341124897897;-0.302759;-0.2897244;-0.319770409091;-0.2604135;-0.26069484375;-0.25592225;-0.22637655;-0.29387394;-0.2742992
bootstrap_corr_spin_dot,2,0.642857134342,-0.575471357615,-0.575471357615,-0.575474126345,0.00985138553956,-0.593683541138,-0.55651582022,0.95,1,-0.542169188343,0.0813986806599,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,-0.660771;-0.55329508;-0.60486696;-0.560607545455;-0.60450456;-0.606146990625;-0.620868875;-0.5918519475;-0.56902365;-0.582684741844
bootstrap_corr_spin_dot,2,0.714285731316,-0.882086195007,-0.882086195007,-0.881864676313,0.00915027492763,-0.900165138781,-0.864140265597,0.95,1,-0.0940632061399,0.00227907640427,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,-0.9400899375;-0.91661157042;-0.84503664;-0.850165069091;-0.84268548;-0.8701921125;-0.90364815;-0.889138215;-0.907229425781;-0.890748187875
bootstrap_corr_spin_dot,2,0.785714268684,-1.01487607044,-1.01487607044,-1.01487043232,0.00805834773654,-1.03003274718,-0.999627641287,0.95,1,-0.794708888254,0.291593210366,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,-1.04563963125;-1.0764079308;-1.080233055;-1.064052;-1.0083465;-1.0233500625;-1.05836;-1.02899115;-1.03268292187;-1.02372127
bootstrap_corr_spin_dot,2,0.857142865658,-1.20798221907,-1.20798221907,-1.20777909131,0.00810949442008,-1.22345363648,-1.19231611817,0.95,1,0.387251899318,0.0341566658939,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,-1.1612878875;-1.1705768892;-1.247432175;-1.21953285;-1.141846875;-1.1646369;-1.241385135;-1.2021759;-1.194073875;-1.19408679
bootstrap_corr_spin_dot,2,0.928571403027,-1.36747333771,-1.36747333771,-1.36752863851,0.00857667825986,-1.38313488039,-1.35006153764,0.95,1,1.84446092436,0.525876154395,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,-1.2141120375;-1.30690989;-1.30892911875;-1.2540605625;-1.2713095125;-1.30330744031;-1.34741777;-1.3296820185;-1.30794847031;-1.3509698125
bootstrap_corr_spin_dot,2,1,-1.399394934,-1.399394934,-1.39945854033,0.00839391137445,-1.41499458554,-1.38384022953,0.95,1,0.817045570686,0.0893571323046,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,-1.28411545219;-1.45469810574;-1.372876065;-1.317251475;-1.3543732125;-1.38110193281;-1.385954825;-1.3700325285;-1.37449342969;-1.39779255
